from	to
peroxisome proliferator-activated receptor-gamma	PPARG
tissue inhibitor of metalloproteinase 1	TIMP1
microsomal glutathione S-transferase 1	MGST1
hydroxyprostaglandin dehydrogenase 15	HPGD
hydroxysteroid 11beta-dehydrogenase 1	HSD11B1
phosphatidic acid phosphatase type 2B	PPAP2B
TNF-related apoptosis-inducing ligand	TNFSF10
secreted protein acidic cysteine-rich	SPARC
insulin-like growth factor receptor	IGF1R
chloramphenicol acetyl transferase	CAT 
discoidin domain receptor member 2	DDR2
death-associated protein kinase 1	DAPK1
Plasminogen activator inhibitor-1	SERPINE1
plasminogen activator inhibitor-1	SERPINE1
plasminogen activator inhibitor-2	SERPINB2
Plasminogen activator inhibitor-2	SERPINB2
secretoglobin family 2A, member 2	SCGB2A2
angiotensin II receptor, type II	AGTR2
transforming growth factor beta2	TGFB2
telomerase reverse transcriptase	TERT
telomerase reverse-transcriptase	TERT
Telomerase reverse transcriptase	TERT
Telomerase reverse-transcriptase	TERT
angiotensin II receptor, type 1	AGTR1
angiotensin II receptor, type 2	AGTR2
angiotensin II receptor, type I	AGTR1
gonadotrophin-releasing hormone	GNRH1
plasminogen activator inhibitor	SERPINE1
phosphogluconate dehydrogenase	PGD
Phosphogluconate dehydrogenase	PGD
fumarylacetoacetate hydrolase	FAH
insulin-like growth factor II	IGF2
insulin-like growth factor 1	IGF1
insulin-like growth factor 2	IGF2
insulin-like growth factor I	IGF1
phosphoglycolate phosphatase	PGP
Phosphoglycolate phosphatase	PGP
calmodulin binding protein	FABP1
prostaglandin E synthase 2	PTGES2
spectrin beta erythrocytic	SPTB
Spectrin beta erythrocytic	SPTB
phenylalanine hydroxylase	PAH
Phenylalanine hydroxylase	PAH
aldehyde dehydrogenase 1	ALDH1A3
alpha1 type XVI collagen	COL16A1
epithelial growth factor	EGF
prostaglandin E synthase	PTGES
prostaglandin F receptor	PTGFR
chorionic gonadotrophin	CGA
estrogen receptor alpha	ESR1
Estrogen receptor alpha	ESR1
estrogen receptor-alpha	ESR1
Estrogen receptor-alpha	ESR1
frizzle-related protein	SFRP2
nitric oxide synthase 1	NOS1
nitric oxide synthase 2	NOS2
nitric oxide synthase 3	NOS3
aspartylglucosaminidase	AGA
Aspartylglucosaminidase	AGA
placental growth factor	PGF
Placental growth factor	PGF
collagen alpha2 type I	COL1A2
estrogen receptor beta	ESR2
Estrogen receptor beta	ESR2
estrogen receptor-beta	ESR2
Estrogen receptor-beta	ESR2
IL-6 signal transducer	IL6ST
l-kynurenine hydrolase	KYNU
placenta growth factor	PGF
Placenta growth factor	PGF
chorionic gonadotropin	CGB
Chorionic gonadotropin	CGB
actin binding protein	ABP
bile salt export pump	ABCB11
histone deacetylase 5	HDAC5
IL-13 receptor alpha1	IL13RA1
IL-13 receptor alpha2	IL13RA2
nitric oxide synthase	NOS1
progesterone receptor	PGR
metalloproteinase 26	MMP26
metalloproteinase-26	MMP26
estrogen receptor 1	ESR1
Estrogen receptor 1	ESR1
estrogen receptor 2	ESR2
Estrogen receptor 2	ESR2
IGF-binding protein	IGFBP3
metalloproteinase 4	MMP4
metalloproteinase 7	MMP7
metalloproteinase-4	MMP4
metalloproteinase-7	MMP7
type I TNF receptor	TNFR1
metallothionein 2A	MT2A
