#CHR	START	END	ENTREZ	HUGO	Description
1	11873	14409	100287102	DDX11L1	DEAD/H_(Asp-Glu-Ala-Asp/His)_box_helicase_11_like_1_non-coding_RNA
1	14361	16765	653635	WASH7P	WAS_protein_family_homolog_7_pseudogene_non-coding_RNA
1	34610	36081	641702	FAM138F	family_with_sequence_similarity_138_member_F_non-coding_RNA
1	34610	77690	645520	FAM138A	family_with_sequence_similarity_138,_member_A
1	69090	70008	79501	OR4F5	olfactory_receptor_family_4_subfamily_F_member_5_mRNA
1	134772	140566	729737	LOC729737	uncharacterized_non-coding_RNA
1	323891	328581	100132062	LOC100132062	uncharacterized_non-coding_RNA
1	324287	325896	100133331	LOC100133331	uncharacterized_non-coding_RNA
1	367658	368597	729759	OR4F29	olfactory_receptor_family_4_subfamily_F_member_29_mRNA
1	700244	714068	100288069	LOC100288069	general_transcription_factor_IIi_pseudogene_non-coding_RNA
1	721319	722512	100287934	LOC100287934	hypothetical_LOC100287934
1	752750	755194	400728	FAM87B	family_with_sequence_similarity_87,_member_B
1	761585	762902	79854	LINC00115	long_intergenic_non-protein_coding_RNA_115_non-coding_RNA
1	762970	778984	643837	LOC643837	uncharacterized_transcript_variant_9_non-coding_RNA
1	803450	812182	284593	FAM41C	family_with_sequence_similarity_41_member_C_non-coding_RNA
1	852952	854817	100130417	FLJ39609	uncharacterized_non-coding_RNA
1	860529	871276	148398	SAMD11	sterile_alpha_motif_domain_containing_11_mRNA
1	879582	882440	26155	NOC2L	nucleolar_complex_associated_2_homolog_(S._cerevisiae)_mRNA
1	896828	897858	339451	KLHL17	kelch-like_family_member_17_mRNA
1	901876	910484	84069	PLEKHN1	pleckstrin_homology_domain_containing_family_N_member_1_transcript_variant_1_mRNA
1	910578	912021	84808	C1orf170	chromosome_1_open_reading_frame_170_non-coding_RNA
1	934341	935552	57801	HES4	hairy_and_enhancer_of_split_4_(Drosophila)_transcript_variant_2_mRNA
1	948846	949919	9636	ISG15	_ubiquitin-like_modifier_mRNA
1	955502	991499	375790	AGRN	agrin_mRNA
1	1007125	1009687	401934	RNF223	ring_finger_protein_223_mRNA
1	1017197	1026945	54991	C1orf159	chromosome_1_open_reading_frame_159_mRNA
1	1072396	1079434	254099	LOC254099	uncharacterized_non-coding_RNA
1	1102483	1102578	406984	MIR200B	microRNA_200b_microRNA
1	1103242	1103332	406983	MIR200A	microRNA_200a_microRNA
1	1104384	1104467	554210	MIR429	microRNA_429_microRNA
1	1115076	1121243	254173	TTLL10	tubulin_tyrosine_ligase-like_family_member_10_transcript_variant_2_mRNA
1	1138887	1141060	8784	TNFRSF18	tumor_necrosis_factor_receptor_superfamily_member_18_transcript_variant_1_mRNA
1	1146705	1149548	7293	TNFRSF4	tumor_necrosis_factor_receptor_superfamily_member_4_mRNA
1	1152287	1156731	51150	SDF4	stromal_cell_derived_factor_4_transcript_variant_2_mRNA
1	1167628	1170420	126792	B3GALT6	UDP-Gal:betaGal_beta_1_3-galactosyltransferase_polypeptide_6_mRNA
1	1177825	1182102	388581	FAM132A	family_with_sequence_similarity_132_member_A_mRNA
1	1189291	1203372	118424	UBE2J2	ubiquitin-conjugating_enzyme_E2_J2_transcript_variant_2_mRNA
1	1215815	1227409	6339	SCNN1D	sodium_channel_non-voltage-gated_1_delta_subunit_transcript_variant_1_mRNA
1	1227763	1234335	116983	ACAP3	ArfGAP_with_coiled-coil_ankyrin_repeat_and_PH_domains_3_mRNA
1	1243993	1247057	126789	PUSL1	pseudouridylate_synthase-like_1_mRNA
1	1246964	1252830	54973	CPSF3L	cleavage_and_polyadenylation_specific_factor_3-like_transcript_variant_5_mRNA
1	1260142	1264276	80772	GLTPD1	glycolipid_transfer_protein_domain_containing_1_mRNA
1	1266725	1269844	83756	TAS1R3	taste_receptor_type_1_member_3_mRNA
1	1270657	1275557	1855	DVL1	dishevelled_segment_polarity_protein_1_mRNA
1	1288070	1293915	54587	MXRA8	matrix-remodelling_associated_8_mRNA
1	1309109	1310246	54998	AURKAIP1	aurora_kinase_A_interacting_protein_1_transcript_variant_2_mRNA
1	1321090	1327029	81669	CCNL2	cyclin_L2_transcript_variant_1_mRNA
1	1334909	1337426	148413	LOC148413	uncharacterized_non-coding_RNA
1	1337275	1342693	55052	MRPL20	mitochondrial_ribosomal_protein_L20_nuclear_gene_encoding_mitochondrial_protein_mRNA
1	1353799	1356824	441869	ANKRD65	ankyrin_repeat_domain_65_transcript_variant_1_mRNA
1	1361507	1363167	643965	TMEM88B	transmembrane_protein_88B_mRNA
1	1370902	1378262	64856	VWA1	von_Willebrand_factor_A_domain_containing_1_transcript_variant_1_mRNA
1	1385068	1405538	219293	ATAD3C	ATPase_family_AAA_domain_containing_3C_mRNA
1	1413405	1418847	83858	ATAD3B	ATPase_family_AAA_domain_containing_3B_nuclear_gene_encoding_mitochondrial_protein_mRNA
1	1447522	1470067	55210	ATAD3A	ATPase_family_AAA_domain_containing_3A_nuclear_gene_encoding_mitochondrial_protein_transcript_variant_2_mRNA
1	1470157	1475740	339453	TMEM240	transmembrane_protein_240_mRNA
1	1477052	1510262	29101	SSU72	_RNA_polymerase_II_CTD_phosphatase_homolog_(S._cerevisiae)_mRNA
1	1533387	1535476	643988	C1orf233	chromosome_1_open_reading_frame_233_mRNA
1	1550794	1554590	142678	MIB2	mindbomb_E3_ubiquitin_protein_ligase_2_transcript_variant_6_non-coding_RNA
1	1567559	1570030	8510	MMP23B	matrix_metallopeptidase_23B_mRNA
1	1571099	1576737	984	CDK11B	cyclin-dependent_kinase_11B_transcript_variant_3_mRNA
1	1592938	1601578	728661	SLC35E2B	solute_carrier_family_35_member_E2B_mRNA
1	1631377	1633247	8511	MMP23A	matrix_metallopeptidase_23A_(pseudogene)_non-coding_RNA
1	1634169	1639684	728642	CDK11A	cyclin-dependent_kinase_11A_transcript_variant_4_mRNA
1	1656276	1677438	9906	SLC35E2	solute_carrier_family_35_member_E2_transcript_variant_2_mRNA
1	1682670	1690081	65220	NADK	NAD_kinase_transcript_variant_4_mRNA
1	1716724	1822526	2782	GNB1	guanine_nucleotide_binding_protein_(G_protein)_beta_polypeptide_1_mRNA
1	1843255	1849228	339457	C1orf222	chromosome_1_open_reading_frame_222
1	1846265	1848733	163688	CALML6	calmodulin-like_6_mRNA
1	1849028	1850236	339456	TMEM52	transmembrane_protein_52_mRNA
1	1886585	1922414	85452	KIAA1751	_mRNA
1	1950767	1962192	2563	GABRD	gamma-aminobutyric_acid_(GABA)_A_receptor_delta_mRNA
1	2076795	2088167	5590	PRKCZ	protein_kinase_C_zeta_transcript_variant_3_mRNA
1	2115898	2126214	199990	C1orf86	chromosome_1_open_reading_frame_86_transcript_variant_7_non-coding_RNA
1	2120481	2125024	100128003	LOC100128003	hypothetical_LOC100128003
1	2160133	2241652	6497	SKI	v-ski_sarcoma_viral_oncogene_homolog_(avian)_mRNA
1	2252695	2322993	79906	MORN1	MORN_repeat_containing_1_mRNA
1	2281852	2284100	100129534	LOC100129534	small_nuclear_ribonucleoprotein_polypeptide_N_pseudogene_non-coding_RNA
1	2323213	2336885	11079	RER1	_retention_in_endoplasmic_reticulum_1_homolog_(S._cerevisiae)_mRNA
1	2336240	2344010	5192	PEX10	peroxisomal_biogenesis_factor_10_transcript_variant_1_mRNA
1	2411622	2436892	9651	PLCH2	phospholipase_C_eta_2_mRNA
1	2439974	2458035	55229	PANK4	pantothenate_kinase_4_mRNA
1	2460183	2461684	388585	HES5	hairy_and_enhancer_of_split_5_(Drosophila)_mRNA
1	2481358	2484284	115110	LOC115110	uncharacterized_non-coding_RNA
1	2486162	2488450	100133445	LOC100133445	uncharacterized_non-coding_RNA
1	2487804	2490438	8764	TNFRSF14	tumor_necrosis_factor_receptor_superfamily_member_14_mRNA
1	2517898	2522908	127281	C1orf93	family_with_sequence_similarity_213_member_B_transcript_variant_8_non-coding_RNA
1	2522080	2560960	79258	MMEL1	membrane_metallo-endopeptidase-like_1_mRNA
1	2572806	2706230	100287898	TTC34	tetratricopeptide_repeat_domain_34_mRNA
1	2938045	2939467	140625	ACTRT2	actin-related_protein_T2_mRNA
